Latitude,Longitude,scientific_name
40.672044,-74.311473,Solanum carolinense
40.661891,-74.651849,Solanum carolinense
30.257825,-91.986648,Solanum carolinense
40.566241,-74.24097,Solanum carolinense
40.580129,-74.447067,Solanum carolinense
,,Solanum carolinense
40.661891,-74.648115,Solanum carolinense
42.314946,-85.356099,Solanum carolinense
41.218334,-74.564025,Solanum carolinense
40.384797,-74.747614,Solanum carolinense
30.033135,-95.466397,Solanum carolinense
29.827242,-95.614142,Solanum carolinense
30.834464,-94.009731,Solanum carolinense
40.48958833,-74.42209667,Solanum carolinense
35.887543,-79.015518,Solanum carolinense
33.92427,-84.37854,Solanum carolinense carolinense
39.02619167,-76.758425,Solanum carolinense
38.964776,-94.840074,Solanum carolinense
29.85200699,-95.46383872,Solanum carolinense
39.344056,-84.478844,Solanum carolinense
37.981821,-76.840383,Solanum carolinense
29.85934141,-95.31384196,Solanum carolinense
32.753608,-96.848931,Solanum carolinense
39.65337833,-89.77017167,Solanum carolinense
37.462513,-77.605263,Solanum carolinense
35.92805667,-83.75969821,Solanum carolinense
41.56974,-72.789079,Solanum carolinense
37.432325,-79.334735,Solanum carolinense
39.688803,-83.971778,Solanum carolinense
41.1326992,-81.594344,Solanum carolinense
39.446768,-82.224798,Solanum carolinense
39.225207,-96.401509,Solanum carolinense
41.179041,-81.650255,Solanum carolinense
41.772252,-87.861897,Solanum carolinense
41.00451821,-73.90765962,Solanum carolinense
41.102299,-81.903484,Solanum carolinense
39.64003833,-89.77265333,Solanum carolinense
39.032717,-77.151169,Solanum carolinense
39.483223,-76.566452,Solanum carolinense
37.677995,-97.94869167,Solanum carolinense
37.540803,-97.687005,Solanum carolinense
38.521039,-78.437433,Solanum carolinense
40.40778667,-89.81036333,Solanum carolinense
35.731671,-78.894461,Solanum carolinense
37.67628478,-97.95114897,Solanum carolinense
41.438898,-72.779674,Solanum carolinense
37.54054,-97.68567,Solanum carolinense
37.678379,-97.947339,Solanum carolinense
38.978676,-77.426528,Solanum carolinense
36.37616095,-82.12471787,Solanum carolinense
37.6763,-96.6763,Solanum carolinense
36.627965,-87.139011,Solanum carolinense
40.32034667,-79.93791167,Solanum carolinense
40.7913,-73.923975,Solanum carolinense
43.01557922,-72.45471191,Solanum carolinense
41.009391,-80.088452,Solanum carolinense
30.037554,-95.393625,Solanum carolinense
40.62127454,-89.01421958,Solanum carolinense
36.304955,-95.51642,Solanum carolinense
43.632755,-72.51838667,Solanum carolinense
35.984361,-79.060278,Solanum carolinense
41.210793,-81.366275,Solanum carolinense
37.73761747,-96.66217803,Solanum carolinense
39.59817167,-79.957345,Solanum carolinense
39.34128,-76.74851,Solanum carolinense
38.50089333,-78.446215,Solanum carolinense
39.657366,-94.215562,Solanum carolinense
36.875046,-80.298566,Solanum carolinense
40.534289,-80.157549,Solanum carolinense
37.84407833,-96.82409667,Solanum carolinense
35.93927334,-83.92780713,Solanum carolinense
30.491646,-91.038569,Solanum carolinense
33.940644,-84.461638,Solanum carolinense
35.662715,-83.713042,Solanum carolinense
37.85342,-97.18203,Solanum carolinense
34.1999,-83.960071,Solanum carolinense
37.98275,-84.40482167,Solanum carolinense
37.553215,-76.326919,Solanum carolinense
40.547983,-74.62879,Solanum carolinense
36.213516,-81.667221,Solanum carolinense
36.213822,-81.666585,Solanum carolinense
35.81168,-78.71393,Solanum carolinense
35.81168,-78.71393,Solanum carolinense
40.474972,-74.438124,Solanum carolinense
29.78188896,-95.2351532,Solanum carolinense
36.108202,-79.877953,Solanum carolinense
36.1912,-86.662195,Solanum carolinense
40.470589,-74.433746,Solanum carolinense
40.472023,-74.431343,Solanum carolinense
40.469678,-82.951836,Solanum carolinense
36.02989,-79.051602,Solanum carolinense
36.029935,-79.052129,Solanum carolinense
36.03005,-79.053462,Solanum carolinense
34.707822,135.108419,Solanum carolinense
41.363862,-88.164232,Solanum carolinense
36.10571,-79.87759,Solanum carolinense
29.78888112,-95.22012503,Solanum carolinense
33.66712,-96.147103,Solanum carolinense
39.661553,-84.676679,Solanum carolinense
41.81998,-88.191837,Solanum carolinense
39.842413,-82.851096,Solanum carolinense
39.61758833,-84.091225,Solanum carolinense
39.031053,-76.225548,Solanum carolinense
38.73823833,-77.28131167,Solanum carolinense
35.29539336,-86.09523752,Solanum carolinense
41.3879552,-81.69511059,Solanum carolinense
35.989568,-78.939272,Solanum carolinense
40.509284,-74.466452,Solanum carolinense
35.08037103,-85.31462132,Solanum carolinense
41.50179062,-81.4930005,Solanum carolinense
35.0794957,-85.31419686,Solanum carolinense
40.301023,-75.036003,Solanum carolinense
41.419399,-81.95465,Solanum carolinense
40.602757,-74.532782,Solanum carolinense
38.959779,-77.054288,Solanum carolinense
38.95984836,-77.05429053,Solanum carolinense
42.45491,-71.547172,Solanum carolinense
35.216898,-82.896037,Solanum carolinense
43.01605988,-72.454422,Solanum carolinense
36.37626272,-82.12461528,Solanum carolinense
40.684688,-74.298731,Solanum carolinense
40.639419,-74.44962,Solanum carolinense
40.424555,-79.903479,Solanum carolinense
41.064099,-74.17585,Solanum carolinense
41.66424,-81.356367,Solanum carolinense
39.91549864,-84.14694568,Solanum carolinense
39.06552924,-78.05976385,Solanum carolinense
30.42527778,-91.02972222,Solanum carolinense
30.254953,-94.678738,Solanum carolinense
30.85110249,-94.17184067,Solanum carolinense
30.10098617,-95.45041667,Solanum carolinense
32.517957,-94.75892,Solanum carolinense
30.35112,-94.238234,Solanum carolinense
33.25734,-87.48283167,Solanum carolinense
39.293872,-77.724838,Solanum carolinense
37.72708833,-96.39904667,Solanum carolinense
32.733492,-97.509617,Solanum carolinense
32.695003,-94.112556,Solanum carolinense
32.753531,-96.849328,Solanum carolinense
40.06331906,-77.51620433,Solanum carolinense
40.06289349,-77.51575229,Solanum carolinense
40.06325872,-77.51602042,Solanum carolinense
40.06327964,-77.51631755,Solanum carolinense
40.06288292,-77.51576983,Solanum carolinense
39.22261348,-76.74352862,Solanum carolinense
33.76438205,-80.65512822,Solanum carolinense
33.76471736,-80.64088435,Solanum carolinense
33.80743306,-84.2822747,Solanum carolinense
33.80630609,-84.27958659,Solanum carolinense
30.08250862,-95.37920605,Solanum carolinense
39.71147337,-75.77618101,Solanum carolinense
35.99018667,-75.66571167,Solanum carolinense
33.819352,-80.787885,Solanum carolinense
33.8136576,-80.78692015,Solanum carolinense
37.69219167,-96.36895833,Solanum carolinense
33.39316167,-84.60404667,Solanum carolinense
35.98704075,-79.05783051,Solanum carolinense
35.96752548,-78.96807098,Solanum carolinense
33.184927,-86.76635,Solanum carolinense
34.54248843,-84.06460874,Solanum carolinense
29.915155,-95.154471,Solanum carolinense
35.666105,-83.62764333,Solanum carolinense
35.91500854,-79.67797852,Solanum carolinense
38.85378333,-92.43884,Solanum carolinense
35.9188182,-79.05511687,Solanum carolinense
33.89091167,-94.79065833,Solanum carolinense
39.22011387,-96.62127477,Solanum carolinense
41.72940171,-72.66171184,Solanum carolinense
35.92408189,-79.04942194,Solanum carolinense
