"","Pop","Ppop_ID","Latitude","Trichomes_Garden","Trichomes_Field","SLA_Garden","SLA_Field","Conc_Garden","Conc_Field"
"1","ARB","ARB-12",33.189776,141.25,NA,203.601895734597,NA,0.246253530819518,NA
"2","ARB","ARB-7",33.189776,84.2340425531915,NA,185.209038799252,NA,0.284234088472885,NA
"3","ARB","ARB-8",33.189776,73.5,NA,295.874125874126,NA,0.675385018351943,NA
"4","ARB","Plant-12-Arb",33.189776,NA,153,NA,12.6607929515419,NA,0.46860423908572
"5","ARB","Plant-15-Arb",33.189776,NA,113,NA,93.8345864661654,NA,0.342552267021313
"6","ARB","Plant-4-Arb",33.189776,NA,95,NA,107.702702702703,NA,0.536588104232628
"7","ARB","Plant-6-Arb",33.189776,NA,89,NA,102.505494505494,NA,0.198393744107258
"8","ARB","Plant-7-Arb",33.189776,NA,88,NA,126.459627329193,NA,0.868106659225523
"9","ARB","Plant-8-Arb",33.189776,NA,238,NA,105.804597701149,NA,0.500184298430922
"10","BEC","BEC-1",38.2144158,NA,144,NA,172,NA,0.0546151941905267
"11","BEC","BEC-10",38.2144158,NA,176,NA,141.454545454545,NA,0.0774581070622348
"12","BEC","BEC-11",38.2144158,NA,152,NA,218.181818181818,NA,0.104881197895529
"13","BEC","BEC-13",38.2144158,NA,200,NA,160.508474576271,NA,0.0920103180541097
"14","BEC","BEC-14",38.2144158,NA,168,NA,217.272727272727,NA,0.082038285023821
"15","BEC","BEC-15",38.2144158,NA,152,NA,225.51724137931,NA,0.0961846574621376
"16","BEC","BEC-16",38.2144158,NA,176,NA,142.053571428571,NA,0.0496291776753823
"17","BEC","BEC-17",38.2144158,NA,144,NA,214.285714285714,NA,0.0824151351092679
"18","BEC","BEC-18",38.2144158,NA,136,NA,157.380952380952,NA,0.0858357743464019
"19","BEC","BEC-19",38.2144158,NA,96,NA,233.076923076923,NA,0.0535426208704085
"20","BEC","BEC-2",38.2144158,NA,224,NA,151.555555555556,NA,0.0922422257990002
"21","BEC","BEC-20",38.2144158,NA,124,NA,161.477272727273,NA,0.114969184798263
"22","BEC","BEC-21",38.2144158,NA,140,NA,135.375,NA,0.084328374004614
"23","BEC","BEC-22",38.2144158,NA,148,NA,194.848484848485,NA,0.0910536986064367
"24","BEC","BEC-23",38.2144158,NA,192,NA,183.103448275862,NA,0.0623841036443564
"25","BEC","BEC-24",38.2144158,NA,176,NA,131.864406779661,NA,0.100851800828058
"26","BEC","BEC-25",38.2144158,NA,128,NA,137.586206896552,NA,0.0760956490610035
"27","BEC","BEC-26",38.2144158,NA,72,NA,138,NA,0.0884737249445306
"28","BEC","BEC-27",38.2144158,NA,152,NA,165.074626865672,NA,0.100764835423724
"29","BEC","BEC-28",38.2144158,NA,172,NA,171.111111111111,NA,0.0985907003153759
"30","BEC","BEC-29",38.2144158,NA,112,NA,184.090909090909,NA,0.0919813295859984
"31","BEC","BEC-3",38.2144158,NA,172,NA,166.478873239437,NA,0.13468134311395
"32","BEC","BEC-30",38.2144158,NA,124,NA,174.659090909091,NA,0.0924741335438906
"33","BEC","BEC-4",38.2144158,NA,156,NA,171.666666666667,NA,0.0704428977792991
"34","BEC","BEC-5",38.2144158,NA,164,NA,162.608695652174,NA,0.0816034580021514
"35","BEC","BEC-6",38.2144158,NA,188,NA,151.549295774648,NA,0.103721659171077
"36","BEC","BEC-7",38.2144158,NA,192,NA,156.041666666667,NA,0.0927495239909481
"37","BEC","BEC-8",38.2144158,NA,208,NA,136.451612903226,NA,0.0557747329149789
"38","BEC","BEC-9",38.2144158,NA,204,NA,132.258064516129,NA,0.113722680669477
"39","BR","BR-1E",30.081895,152.25,NA,160.957095709571,NA,0.245729552755046,NA
"40","BR","BR-1H",30.081895,163.75,NA,165.373831775701,NA,0.225264215947468,NA
"41","BR","BlackRiver1",30.081895,NA,174,NA,106.428571428571,NA,0.546134135961004
"42","CAH","CAH-12",33.322326,110.5,NA,153.923076923077,NA,0.424912220595975,NA
"43","CAH","CAH-14",33.322326,68.5789473684211,NA,141.068851715003,NA,0.397656461275142,NA
"44","CAH","CAH-5",33.322326,56,NA,191.208333333333,NA,0.266701329030331,NA
"45","CAH","CAH-8",33.322326,79.7058823529412,NA,147.336616094401,NA,0.0685386640711399,NA
"46","CAH","Plant-11-CAH",33.322326,NA,237,NA,76.3953488372093,NA,0.301912946883838
"47","CAH","Plant-12-CAH",33.322326,NA,222,NA,79.8230088495575,NA,0.206386664516935
"48","CAH","Plant-14-CAH",33.322326,NA,114,NA,112.448132780083,NA,0.175993213183645
"49","CAH","Plant-5-CAH",33.322326,NA,92,NA,99.4827586206896,NA,0.213458512091852
"50","CAH","Plant-8-CAH",33.322326,NA,80,NA,111.666666666667,NA,0.193041159069338
"51","CAH","Plant-9-CAH",33.322326,NA,160,NA,84.1232227488152,NA,0.277403612793955
"52","COO","COO-1",32.5134944,NA,334,NA,199.772727272727,NA,0.18888977848209
"53","COO","COO-10",32.5134944,NA,132,NA,203.723404255319,NA,0.258114240331886
"54","COO","COO-11",32.5134944,NA,176,NA,201.428571428571,NA,0.268231215702731
"55","COO","COO-12",32.5134944,NA,108,NA,275.952380952381,NA,0.241126998018661
"56","COO","COO-13",32.5134944,NA,164,NA,196.282051282051,NA,0.277159663881013
"57","COO","COO-14",32.5134944,NA,232,NA,194.52380952381,NA,0.221124955021861
"58","COO","COO-15",32.5134944,NA,160,NA,190.361445783133,NA,0.232024619031711
"59","COO","COO-16",32.5134944,NA,172,NA,233.787878787879,NA,0.220777093404525
"60","COO","COO-17",32.5134944,NA,176,NA,186.103896103896,NA,0.161872526202354
"61","COO","COO-18",32.5134944,NA,84,NA,257.948717948718,NA,0.201006958152615
"62","COO","COO-19",32.5134944,NA,116,NA,243.6,NA,0.209848440926563
"63","COO","COO-2",32.5134944,NA,195,NA,216.142857142857,NA,0.221385851234863
"64","COO","COO-20",32.5134944,NA,124,NA,194.166666666667,NA,0.117636123864503
"65","COO","COO-21",32.5134944,NA,152,NA,173.417721518987,NA,0.218458015955621
"66","COO","COO-22",32.5134944,NA,144,NA,203.076923076923,NA,0.24509841814991
"67","COO","COO-23",32.5134944,NA,160,NA,197.042253521127,NA,0.200485165726612
"68","COO","COO-24",32.5134944,NA,156,NA,159.193548387097,NA,0.116331642799494
"69","COO","COO-25",32.5134944,NA,216,NA,147.272727272727,NA,0.141957448609888
"70","COO","COO-26",32.5134944,NA,132,NA,203.448275862069,NA,0.16222038781969
"71","COO","COO-27",32.5134944,NA,192,NA,197.466666666667,NA,0.17445352136266
"72","COO","COO-28",32.5134944,NA,116,NA,194.565217391304,NA,0.187266424267857
"73","COO","COO-29",32.5134944,NA,112,NA,180.217391304348,NA,0.170279181954632
"74","COO","COO-3",32.5134944,NA,328,NA,189.428571428571,NA,0.0747042025916609
"75","COO","COO-30",32.5134944,NA,148,NA,182.590361445783,NA,0.213414022504254
"76","COO","COO-4",32.5134944,NA,214,NA,231.081081081081,NA,0.0994023774224925
"77","COO","COO-5",32.5134944,NA,333,NA,199.090909090909,NA,0.100098100657164
"78","COO","COO-6",32.5134944,NA,249,NA,195.813953488372,NA,0.0859517282188471
"79","COO","COO-7",32.5134944,NA,223,NA,229.347826086957,NA,0.069486278331626
"80","COO","COO-8",32.5134944,NA,128,NA,234.390243902439,NA,0.198513949895043
"81","COO","COO-9",32.5134944,NA,172,NA,185.921052631579,NA,0.218631946764289
"82","DUDU","DUDU-1",29.6135164,57.9736842105263,108,151.892495625253,155.135135135135,0.408073810930398,0.0386715367293092
"83","DUDU","DUDU-10",29.6135164,NA,64,NA,207.25,NA,0.0598621069186729
"84","DUDU","DUDU-11",29.6135164,NA,104,NA,172.4,NA,0.0376569403454135
"85","DUDU","DUDU-12",29.6135164,NA,92,NA,164.336283185841,NA,0.048266719674151
"86","DUDU","DUDU-13",29.6135164,NA,136,NA,189.25,NA,0.0326129468940465
"87","DUDU","DUDU-14",29.6135164,NA,92,NA,226.836734693878,NA,0.0600360377273407
"88","DUDU","DUDU-15",29.6135164,NA,132,NA,222.131147540984,NA,0.0530498169125163
"89","DUDU","DUDU-16",29.6135164,NA,116,NA,124.89247311828,NA,0.0477739157162588
"90","DUDU","DUDU-17",29.6135164,NA,92,NA,127.605633802817,NA,0.0306997079987004
"91","DUDU","DUDU-18",29.6135164,NA,136,NA,233.269230769231,NA,0.0436285647763423
"92","DUDU","DUDU-19",29.6135164,NA,80,NA,165.652173913043,NA,0.0698921168851843
"93","DUDU","DUDU-2",29.6135164,NA,100,NA,157.226890756303,NA,0.0509916356766136
"94","DUDU","DUDU-20",29.6135164,NA,72,NA,281.011235955056,NA,0.0661815929669373
"95","DUDU","DUDU-21",29.6135164,NA,124,NA,201.26582278481,NA,0.046179549970137
"96","DUDU","DUDU-22",29.6135164,NA,88,NA,198.939393939394,NA,0.162133422415356
"97","DUDU","DUDU-23",29.6135164,NA,100,NA,203.75,NA,0.171351755274751
"98","DUDU","DUDU-24",29.6135164,NA,112,NA,237.375,NA,0.0384106405163074
"99","DUDU","DUDU-3",29.6135164,62,128,166.488095238095,190.740740740741,0.556557767327506,0.0795162882981374
"100","DUDU","DUDU-4",29.6135164,NA,108,NA,143.522727272727,NA,0.0273660341659004
"101","DUDU","DUDU-5",29.6135164,NA,72,NA,203.48623853211,NA,0.056064617596092
"102","DUDU","DUDU-6",29.6135164,NA,116,NA,138.581560283688,NA,0.0576589833422137
"103","DUDU","DUDU-7",29.6135164,64.3125,124,171.073977197799,194.84375,0.167637795370821,0.0698921168851843
"104","DUDU","DUDU-8",29.6135164,NA,68,NA,157.226890756303,NA,0.0549630558078624
"105","DUDU","DUDU-9",29.6135164,NA,112,NA,191.808510638298,NA,0.0539194709558554
"106","DUDU","Plant1_Pop Dudu",29.6135164,NA,45,NA,158.198198198198,NA,0.532265336947444
"107","DUDU","Plant2_Pop Dudu",29.6135164,NA,101,NA,166.746987951807,NA,0.230981640827668
"108","DUDU","Plant3_Pop Dudu",29.6135164,NA,104,NA,147.963800904977,NA,0.470891629785498
"109","DUDU","Plant4_Pop Dudu",29.6135164,NA,109,NA,158.489208633094,NA,0.817630337807423
"110","DUDU","Plant5_Pop Dudu",29.6135164,NA,86,NA,103.300492610837,NA,0.235182867731069
"111","DUDU","Plant6_Pop Dudu",29.6135164,NA,85,NA,153.14606741573,NA,0.278372009644625
"112","ECO","Eco1",30.15618,NA,44,NA,114.210526315789,NA,0.203744886025967
