"Pop","Date","Time","Plant_ID","Loc","Year","L_area","L_weight","Trichomes","Conc","herb_p","Leaves","fl_m","fl_h","Height","SLA"
"I3",2022-06-15,"2022","I3 - Plant 6","Field","2022",3.639,0.0374,116,0.571345001097597,0.01,NA,NA,NA,51,97.2994652406417
"I3",2022-06-15,"2022","I3 - Plant 7","Field","2022",2.214,0.0217,148,0.70613274476791,0.05,NA,NA,NA,42,102.027649769585
"I3",2022-06-15,"2022","I3 - Plant 8","Field","2022",2.36,0.0237,192,0.551531967629358,0.02,NA,NA,NA,34,99.57805907173
"I3",2022-06-15,"2022","I3 - Plant 9","Field","2022",1.689,0.0181,200,0.533474890913045,0.02,NA,NA,NA,55,93.3149171270718
"I3",2022-06-15,"2022","I3 - Plant 10","Field","2022",2.449,0.018,272,0.549621675358111,0.01,NA,NA,NA,38,136.055555555556
"I3",2022-06-15,"2022","I3 - Plant 11","Field","2022",1.371,0.0091,204,0.789989738277959,0.07,NA,NA,NA,53,150.659340659341
"I3",2022-06-15,"2022","I3 - Plant 12","Field","2022",1.29,0.0129,140,0.652287281975739,0.05,NA,NA,NA,48,100
"I3",2022-06-15,"2022","I3 - Plant 13","Field","2022",2.44,0.0201,212,0.999421185417484,0.03,NA,NA,NA,37,121.393034825871
"I3",2022-06-15,"2022","I3 - Plant 14","Field","2022",2.834,0.0221,144,0.701896012961422,0.03,NA,NA,NA,38,128.235294117647
"I3",2022-06-15,"2022","I3 - Plant 15","Field","2022",1.208,0.0094,144,0.922157238957551,0.04,NA,NA,NA,43,128.510638297872
"I4",2022-06-15,"2022","I4 - Plant 1","Field","2022",3.668,0.0245,110,0.345791876941066,0,NA,NA,NA,42,149.714285714286
"I4",2022-06-15,"2022","I4 - Plant 2","Field","2022",1.765,0.0104,91,0.139713671470618,0,NA,NA,NA,34,169.711538461538
"I4",2022-06-15,"2022","I4 - Plant 3","Field","2022",1.896,0.0131,87,0.135121522576124,0,NA,NA,NA,42,144.732824427481
