Well,Sample,Abs,Plate,Rep
A01,115,0.8844,2,1
B01,115,0.9924,2,2
C01,115,1.0126,2,3
D01,115,1.0089,2,4
A02,117,0.4881,2,1
B02,117,0.5033,2,2
C02,117,0.4089,2,3
D02,117,0.4778,2,4
E02,119,0.5709,2,1
F02,119,0.5076,2,2
G02,119,0.5536,2,3
H02,119,0.5638,2,4
E03,121,0.6076,2,1
F03,121,0.6258,2,2
G03,121,0.5622,2,3
H03,121,0.563,2,4
A02,123,0.4678,2,1
B02,123,0.4661,2,2
C02,123,0.4157,2,3
D02,123,0.4723,2,4
A03,125,0.7335,2,1
B03,125,0.7688,2,2
C03,125,0.7449,2,3
D03,125,0.7018,2,4
E02,127,0.5639,2,1
F02,127,0.4708,2,2
G02,127,0.5574,2,3
H02,127,0.5638,2,4
E02,129,0.5484,2,1
F02,129,0.4749,2,2
G02,129,0.5241,2,3
H02,129,0.5015,2,4
E01,131,0.5188,1,1
F01,131,0.5652,1,2
G01,131,0.5629,1,3
H01,131,0.55,1,4
A03,133,0.5549,2,1
B03,133,0.5668,2,2
C03,133,0.5593,2,3
D03,133,0.5557,2,4
E04,135,0.5231,2,1
F04,135,0.5042,2,2
G04,135,0.538,2,3
H04,135,0.5161,2,4
A03,137,0.6908,2,1
B03,137,0.7341,2,2
C03,137,0.7166,2,3
D03,137,0.668,2,4
A04,139,0.5434,2,1
B04,139,0.5891,2,2
C04,139,0.572,2,3
D04,139,0.537,2,4
A02,141,0.5945,1,1
B02,141,0.5389,1,2
C02,141,0.3491,1,3
D02,141,0.5086,1,4
E03,143,0.6435,2,1
F03,143,0.6418,2,2
G03,143,0.6035,2,3
H03,143,0.6196,2,4
E05,145,0.6235,2,1
F05,145,0.5728,2,2
G05,145,0.6023,2,3
H05,145,0.545,2,4
E06,147,0.5657,2,1
F06,147,0.5333,2,2
G06,147,0.5467,2,3
H06,147,0.5475,2,4
E03,149,0.6156,2,1
F03,149,0.6782,2,2
G03,149,0.6605,2,3
H03,149,0.6516,2,4
A04,151,0.4988,2,1
B04,151,0.5292,2,2
C04,151,0.5149,2,3
D04,151,0.5222,2,4
E07,153,0.5839,2,1
F07,153,0.6262,2,2
G07,153,0.5769,2,3
H07,153,0.5748,2,4
A02,155,0.4976,1,1
B02,155,0.5079,1,2
C02,155,0.3485,1,3
D02,155,0.4902,1,4
E04,157,0.934,2,1
F04,157,0.9059,2,2
G04,157,0.9164,2,3
H04,157,0.9197,2,4
E05,159,0.6498,2,1
F05,159,0.6207,2,2
G05,159,0.6362,2,3
H05,159,0.6385,2,4
A04,160,0.6703,2,1
B04,160,0.6794,2,2
C04,160,0.6383,2,3
D04,160,0.6669,2,4
A03,161,0.8071,1,1
B03,161,0.8196,1,2
C03,161,0.8144,1,3
D03,161,0.7474,1,4
A05,163,0.8957,2,1
B05,163,0.858,2,2
C05,163,0.8164,2,3
D05,163,0.9218,2,4
E07,164,0.703,2,1
F07,164,0.6803,2,2
G07,164,0.7291,2,3
H07,164,0.7186,2,4
C01,165,0.4138,2,3
D01,165,0.4199,2,4
E03,165,0.4374,2,1
F03,165,0.4302,2,2
E01,167,0.5281,2,1
F01,167,0.5284,2,2
G01,167,0.4292,2,3
H01,167,0.5106,2,4
E04,169,0.432,2,1
F04,169,0.4266,2,2
G04,169,0.4192,2,3
H04,169,0.4282,2,4
E02,171,0.514,1,1
F02,171,0.4779,1,2
G02,171,0.4711,1,3
H02,171,0.4559,1,4
E02,173,0.4295,2,1
F02,173,0.3274,2,2
G02,173,0.4379,2,3
H02,173,0.4222,2,4
E05,175,0.4384,2,1
F05,175,0.401,2,2
G05,175,0.3821,2,3
H05,175,0.3965,2,4
E03,177,0.4033,2,1
F03,177,0.3961,2,2
G03,177,0.4207,2,3
H03,177,0.4185,2,4
E04,179,0.4101,2,1
F04,179,0.3891,2,2
G03,179,0.3714,2,3
H03,179,0.3938,2,4
A03,181,0.4618,1,1
B03,181,0.4239,1,2
C03,181,0.4002,1,3
D03,181,0.4005,1,4
E04,183,0.4271,2,1
F04,183,0.4268,2,2
G04,183,0.4074,2,3
H04,183,0.4111,2,4
A05,185,0.4965,2,1
B05,185,0.4892,2,2
C05,185,0.348,2,3
D05,185,0.43,2,4
A06,187,0.4498,2,1
B06,187,0.4085,2,2
C06,187,0.4113,2,3
D06,187,0.3991,2,4
A07,189,0.5054,2,1
B07,189,0.5091,2,2
C07,189,0.499,2,3
D07,189,0.4733,2,4
E05,191,0.5152,2,1
F05,191,0.5098,2,2
G04,191,0.4453,2,3
H04,191,0.4262,2,4
A01,193,0.41,2,1
B01,193,0.406,2,2
C01,193,0.3801,2,3
D01,193,0.3904,2,4
E05,195,0.5023,2,1
F05,195,0.4771,2,2
G05,195,0.473,2,3
H05,195,0.4875,2,4
A02,197,0.4047,2,1
B02,197,0.395,2,2
C02,197,0.3121,2,3
D02,197,0.3733,2,4
E06,199,0.429,2,1
G06,199,0.3766,2,3
H06,199,0.3993,2,4
A08,201,0.4612,2,1
B08,201,0.4538,2,2
C08,201,0.3807,2,3
D08,201,0.4579,2,4
E08,203,0.4556,2,1
F08,203,0.4487,2,2
G08,203,0.4145,2,3
H08,203,0.456,2,4
E09,205,0.5058,2,1
F09,205,0.5315,2,2
G09,205,0.5253,2,3
H09,205,0.4833,2,4
A07,207,0.4958,2,1
B02,207,0.4545,2,2
C02,207,0.363,2,3
D02,207,0.4427,2,4
A03,209,0.4604,2,1
B03,209,0.4918,2,2
C03,209,0.436,2,3
D03,209,0.4311,2,4
E07,211,0.4355,2,1
F07,211,0.4662,2,2
