Well,Sample,Abs,Plate,Rep
B07,504,0.3593,2,4
C06,506,0.3615,2,1
D06,506,0.3406,2,2
E06,506,0.399,2,3
F06,506,0.3689,2,4
A01,Blank1,0.2732,2,1
B12,Blank1,0.2946,2,2
C12,Blank1,0.2816,2,1
D12,Blank1,0.2743,2,2
A12,Blank1,0.3044,2,1
B12,Blank1,0.3066,2,2
C12,Blank1,0.2779,2,3
D12,Blank1,0.2745,2,4
E12,Blank1,0.2715,2,3
F12,Blank1,0.2812,2,4
G12,Blank1,0.2718,2,3
H12,Blank1,0.3045,2,4
A12,Blank1,0.3047,2,1
B12,Blank1,0.29,2,2
C12,Blank1,0.2745,2,3
D12,Blank1,0.2745,2,4
E12,Blank1,0.2777,2,1
F12,Blank1,0.2782,2,2
G12,Blank1,0.2789,2,3
H12,Blank1,0.3036,2,4
A12,Blank1,0.3077,2,1
B12,Blank1,0.2938,2,2
C12,Blank1,0.2938,2,3
D12,Blank1,0.2823,2,4
E12,Blank1,0.2818,2,1
F12,Blank1,0.2747,2,2
G12,Blank1,0.2897,2,3
H12,Blank1,0.3048,2,4
A12,Blank1,0.311,2,1
B12,Blank1,0.288,2,2
C12,Blank1,0.2789,2,3
D12,Blank1,0.2709,2,4
E12,Blank1,0.2714,2,1
F12,Blank1,0.2612,2,2
G12,Blank1,0.2732,2,3
H12,Blank1,0.2967,2,4
A12,Blank1,0.3094,1,1
B12,Blank1,0.2926,1,2
C12,Blank1,0.3194,1,3
D12,Blank1,0.3063,1,4
E12,Blank1,0.3073,1,1
F12,Blank1,0.3377,1,2
G12,Blank1,0.3459,1,3
H12,Blank1,0.3086,1,4
A12,Blank1,0.3004,2,1
B12,Blank1,0.2859,2,2
C12,Blank1,0.2784,2,3
D12,Blank1,0.2672,2,4
E12,Blank1,0.2677,2,1
F12,Blank1,0.2638,2,2
G12,Blank1,0.2717,2,3
H12,Blank1,0.2945,2,4
A12,Blank1,0.3091,1,1
B12,Blank1,0.2972,1,2
C12,Blank1,0.3135,1,3
D12,Blank1,0.306,1,4
E12,Blank1,0.2993,1,1
F12,Blank1,0.3251,1,2
G12,Blank1,0.3246,1,3
H12,Blank1,0.3015,1,4
A12,Blank1,0.3212,2,1
B12,Blank1,0.2966,2,2
C12,Blank1,0.2927,2,3
D12,Blank1,0.2835,2,4
E12,Blank1,0.2805,2,1
F12,Blank1,0.2768,2,2
G12,Blank1,0.282,2,3
H12,Blank1,0.3058,2,4
A12,Blank1,0.3285,1,1
B12,Blank1,0.3233,1,2
C12,Blank1,0.3281,1,3
D12,Blank1,0.3266,1,4
E12,Blank1,0.3141,1,1
F12,Blank1,0.3444,1,2
G12,Blank1,0.3229,1,3
H12,Blank1,0.3012,1,4
A01,365,0.3696,1,1
A02,365,0.4259,1,2
A03,417,0.4394,1,1
A04,417,0.4378,1,2
A05,497,0.4456,1,1
A06,497,0.4399,1,2
A07,397,0.4436,1,1
A08,397,0.4537,1,2
A09,381,0.4355,1,1
A10,381,0.4495,1,2
B01,365,0.4129,1,3
B02,365,0.4257,1,4
B03,417,0.4583,1,3
B04,417,0.4474,1,4
B05,497,0.4442,1,3
B06,497,0.4324,1,4
B07,397,0.4644,1,3
B08,397,0.4796,1,4
B09,381,0.477,1,3
B10,381,0.4643,1,4
A01,685,0.3882,2,1
A02,687,0.3744,2,1
A03,689,0.5214,2,1
A04,690,0.3882,2,1
A05,694,0.3644,2,1
A06,710,0.4256,2,1
A07,714,0.4087,2,1
A08,716,0.409,2,1
A09,727,0.4215,2,1
A10,740,0.3601,2,1
A11,742,0.3658,2,1
A12,758,0.4023,2,1
B12,758,0.3688,2,2
B11,742,0.3856,2,2
B10,740,0.4193,2,2
B09,727,0.4507,2,2
B08,716,0.425,2,2
B07,714,0.4169,2,2
B06,710,0.435,2,2
B05,694,0.3553,2,2
B04,690,0.3982,2,2
B03,689,0.4567,2,2
B02,687,0.357,2,2
B01,685,0.3644,2,2
C01,685,0.3662,2,3
C02,687,0.3681,2,3
C03,689,0.5498,2,3
C04,690,0.4225,2,3
C05,694,0.3895,2,3
C06,710,0.447,2,3
C07,714,0.4094,2,3
C08,716,0.355,2,3
C09,727,0.4224,2,3
C10,740,0.3546,2,3
C11,742,0.2426,2,3
C12,758,0.3257,2,3
D12,758,0.3212,2,4
D11,742,0.3388,2,4
D10,740,0.3446,2,4
D09,727,0.3713,2,4
D08,716,0.3827,2,4
D07,714,0.3798,2,4
D06,710,0.3832,2,4
D05,694,0.3482,2,4
D04,690,0.3627,2,4
D03,689,0.5104,2,4
D02,687,0.3607,2,4
D01,685,0.3703,2,4
E01,684,0.3525,2,1
E02,702,0.3638,2,1
E03,715,0.328,2,1
E04,720,0.3666,2,1
E05,722,0.3763,2,1
E06,724,0.3732,2,1
E07,728,0.3645,2,1
E08,732,0.3803,2,1
E09,734,0.3841,2,1
E10,749,0.3669,2,1
E11,752,0.3457,2,1
E12,756,0.335,2,1
F12,756,0.3195,2,2
F11,752,0.2476,2,2
F10,749,0.3312,2,2
F09,734,0.3558,2,2
F08,732,0.3264,2,2
F07,728,0.3678,2,2
F06,724,0.3534,2,2
F05,722,0.3598,2,2
F04,720,0.3469,2,2
F03,715,0.3356,2,2
F02,702,0.2754,2,2
F01,684,0.3394,2,2
G01,684,0.3124,2,3
G02,702,0.3815,2,3
G03,715,0.3677,2,3
G04,720,0.3903,2,3
G05,722,0.3796,2,3
G06,724,0.3866,2,3
G07,728,0.3888,2,3
G08,732,0.3776,2,3
G09,734,0.4038,2,3
G10,749,0.3294,2,3
G11,752,0.3379,2,3
G12,756,0.3249,2,3
H12,756,0.3707,2,4
H11,752,0.3604,2,4
H10,749,0.3103,2,4
H09,734,0.4071,2,4
H08,732,0.3718,2,4
H07,728,0.3487,2,4
H06,724,0.3692,2,4
H05,722,0.3952,2,4
H04,720,0.3939,2,4
H03,715,0.3414,2,4
H02,702,0.361,2,4
H01,684,0.3389,2,4
A01,614,0.3689,2,1
A02,680,0.3688,2,1
A03,691,0.3716,2,1
A04,695,0.3745,2,1
A05,696,0.3883,2,1
A06,705,0.3815,2,1
A07,706,0.3921,2,1
A08,713,0.3926,2,1
A09,714,0.3766,2,1
A10,729,0.3752,2,1
A11,738,0.3476,2,1
A12,Blank1,0.3102,2,1
B12,Blank1,0.2964,2,2
B11,738,0.3472,2,2
B10,729,0.3973,2,2
B09,714,0.3857,2,2
B08,713,0.4345,2,2
B07,706,0.389,2,2
B06,705,0.3775,2,2
B05,696,0.3794,2,2
B04,695,0.4073,2,2
B03,691,0.3837,2,2
B02,680,0.3661,2,2
B01,614,0.3979,2,2
C01,614,,2,3
C02,680,0.3052,2,3
C03,691,0.3811,2,3
C04,695,0.3879,2,3
C05,696,0.2814,2,3
C06,705,0.3759,2,3
C07,706,0.3712,2,3
C08,713,0.3219,2,3
C09,714,0.4,2,3
C10,729,0.3778,2,3
C11,738,0.2458,2,3
C12,Blank1,0.2845,2,3
D12,Blank1,0.2687,2,4
D11,738,0.3322,2,4
D10,729,0.3681,2,4
D09,714,0.3804,2,4
D08,713,0.3882,2,4
D07,706,0.391,2,4
D06,705,0.362,2,4
D05,696,0.3704,2,4
D04,695,0.3846,2,4
D03,691,0.3661,2,4
D02,680,0.3843,2,4
D01,614,,2,4
E01,613,0.3788,2,1
E02,621,0.3892,2,1
E03,622,0.3732,2,1
E04,678,0.4048,2,1
E05,686,0.3931,2,1
E06,688,0.3636,2,1
E07,692,0.3667,2,1
E08,693,0.381,2,1
E09,697,0.39,2,1
E10,703,0.383,2,1
E11,717,0.3698,2,1
E12,Blank1,0.2719,2,1
F12,Blank1,0.2692,2,2
F11,717,0.2672,2,2
F10,703,0.3613,2,2
F09,697,0.3757,2,2
F08,693,0.3566,2,2
F07,692,0.3925,2,2
F06,688,0.3583,2,2
F05,686,0.35,2,2
F04,678,0.3815,2,2
F03,622,0.3679,2,2
F02,621,0.2879,2,2
F01,613,0.3623,2,2
G01,613,0.3445,2,3
G02,621,0.3851,2,3
G03,622,0.3643,2,3
G04,678,0.3984,2,3
G05,686,0.375,2,3
G06,688,0.3547,2,3
G07,692,0.3743,2,3
G08,693,0.365,2,3
G09,697,0.369,2,3
G10,703,0.3574,2,3
G11,717,0.3581,2,3
G12,Blank1,0.2757,2,3
H12,Blank1,0.3012,2,4
H11,717,0.3807,2,4
H10,703,0.3275,2,4
H09,697,0.3869,2,4
H08,693,0.3781,2,4
H07,692,0.3673,2,4
H06,688,0.3477,2,4
H05,686,0.3728,2,4
H04,678,0.3851,2,4
H03,622,0.3714,2,4
H02,621,0.375,2,4
H01,613,0.3786,2,4
A01,604,0.4138,1,1
A02,611,0.4007,1,1
A03,620,0.438,1,1
A04,681,0.3929,1,1
A05,683,0.4003,1,1
A06,698,0.4257,1,1
A07,700,0.3931,1,1
A08,709,0.414,1,1
A09,721,0.4016,1,1
A10,743,0.3906,1,1
A11,748,0.3664,1,1
A12,Blank1,0.3012,1,1
B12,Blank1,0.2929,1,2
B11,748,0.3684,1,2
B10,743,0.3645,1,2
B09,721,0.3896,1,2
B08,709,0.3999,1,2
B07,700,0.386,1,2
B06,698,0.4016,1,2
B05,683,0.3904,1,2
B04,681,0.3875,1,2
B03,620,0.4196,1,2
B02,611,0.3818,1,2
B01,604,0.4057,1,2
C01,604,0.3897,1,3
C02,611,0.2441,1,3
C03,620,0.3974,1,3
C04,681,0.3825,1,3
C05,683,0.3062,1,3
C06,698,0.3936,1,3
C07,700,0.3788,1,3
C08,709,0.2928,1,3
C09,721,0.3976,1,3
C10,743,0.3707,1,3
C11,748,0.3353,1,3
C12,Blank1,0.31,1,3
D12,Blank1,0.302,1,4
D11,748,0.3651,1,4
D10,743,0.3779,1,4
D09,721,0.4268,1,4
D08,709,0.4106,1,4
D07,700,0.3819,1,4
D06,698,0.4022,1,4
D05,683,0.3926,1,4
D04,681,0.3743,1,4
D03,620,0.4019,1,4
D02,611,0.3752,1,4
D01,604,0.3867,1,4
E01,602,0.4326,1,1
E02,610,0.4018,1,1
E03,679,0.4012,1,1
E04,682,0.3928,1,1
E05,699,0.4066,1,1
E06,701,0.3683,1,1
E07,704,0.4169,1,1
E08,708,0.3824,1,1
E09,711,0.3989,1,1
E10,712,0.3947,1,1
E11,718,0.4263,1,1
E12,Blank1,0.3094,1,1
F12,Blank1,0.315,1,2
F11,718,0.3052,1,2
F10,712,0.4173,1,2
F09,711,0.3879,1,2
F08,708,0.2838,1,2
F07,704,0.4118,1,2
F06,701,0.3788,1,2
F05,699,0.3844,1,2
F04,682,0.3911,1,2
F03,679,0.4028,1,2
F02,610,0.3779,1,2
F01,602,0.4361,1,2
G01,602,0.4157,1,3
G02,610,0.3915,1,3
G03,679,0.3962,1,3
G04,682,0.393,1,3
G05,699,0.3936,1,3
G06,701,0.3679,1,3
G07,704,0.41,1,3
G08,708,0.4225,1,3
G09,711,0.4003,1,3
G10,712,0.4216,1,3
G11,718,0.4344,1,3
G12,Blank1,0.3244,1,3
H12,Blank1,0.3028,1,4
H11,718,0.4054,1,4
H10,712,0.4082,1,4
H09,711,0.3994,1,4
H08,708,0.378,1,4
H07,704,0.4092,1,4
H06,701,0.3711,1,4
H05,699,0.3964,1,4
H04,682,0.3873,1,4
H03,679,0.3912,1,4
H02,610,0.3798,1,4
H01,602,0.4143,1,4
A01,671,0.5809,1,1
A02,675,0.5599,1,1
A03,676,0.5146,1,1
A04,677,0.4993,1,1
A05,723,0.3705,1,1
A06,737,0.3847,1,1
A07,744,0.3795,1,1
A08,750,0.3738,1,1
A09,753,0.3704,1,1
A10,754,0.385,1,1
A11,759,0.3802,1,1
A12,Blank1,0.3147,1,1
B12,Blank1,0.3106,1,2
B11,759,0.3641,1,2
B10,754,0.3591,1,2
B09,753,0.3547,1,2
B08,750,0.342,1,2
B07,744,0.4028,1,2
B06,737,0.4147,1,2
B05,723,0.3896,1,2
B04,677,0.4612,1,2
B03,676,0.5121,1,2
B02,675,0.6103,1,2
B01,671,0.5402,1,2
C01,671,0.5282,1,3
C02,675,0.3535,1,3
C03,676,0.498,1,3
C04,677,0.4601,1,3
C05,723,0.3127,1,3
C06,737,0.3985,1,3
C07,744,0.3649,1,3
C08,750,0.2465,1,3
C09,753,0.3586,1,3
C10,754,0.3557,1,3
C11,759,0.3417,1,3
C12,Blank1,0.3105,1,3
D12,Blank1,0.3152,1,4
D11,759,0.3786,1,4
D10,754,0.3698,1,4
D09,753,0.3814,1,4
D08,750,0.3493,1,4
D07,744,0.4074,1,4
D06,737,0.4155,1,4
D05,723,0.3764,1,4
D04,677,0.4829,1,4
D03,676,0.4579,1,4
D02,675,0.5509,1,4
D01,671,0.5465,1,4
E01,600,0.5113,1,1
E02,608,0.5331,1,1
E03,619,0.3826,1,1
E04,627,0.5428,1,1
E05,632,0.5052,1,1
E06,639,0.4875,1,1
E07,640,0.4151,1,1
E08,653,0.5663,1,1
E09,664,0.3733,1,1
E10,668,0.5526,1,1
E11,673,0.5472,1,1
E12,Blank1,0.3201,1,1
F12,Blank1,0.3473,1,2
F11,673,0.4439,1,2
F10,668,0.5676,1,2
F09,664,0.3811,1,2
F08,653,0.4698,1,2
F07,640,0.4584,1,2
F06,639,0.5477,1,2
F05,632,0.5031,1,2
F04,627,0.5688,1,2
F03,619,0.3961,1,2
F02,608,0.5064,1,2
F01,600,0.5589,1,2
G01,600,0.5581,1,3
G02,608,0.5159,1,3
G03,619,0.4004,1,3
G04,627,0.5912,1,3
G05,632,0.5364,1,3
G06,639,0.5067,1,3
G07,640,0.4562,1,3
G08,653,0.5981,1,3
G09,664,0.3696,1,3
G10,668,0.5759,1,3
G11,673,0.5693,1,3
G12,Blank1,0.3285,1,3
H12,Blank1,0.3129,1,4
H11,673,0.55,1,4
H10,668,0.5727,1,4
H09,664,0.3778,1,4
H08,653,0.5924,1,4
H07,640,0.4532,1,4
H06,639,0.4774,1,4
H05,632,0.5425,1,4
H04,627,0.5619,1,4
H03,619,0.4117,1,4
H02,608,0.5295,1,4
H01,600,0.5698,1,4
A01,599,0.4877,2,1
A02,626,0.5304,2,1
A03,629,0.5885,2,1
A04,630,0.5029,2,1
A05,631,0.5269,2,1
A06,638,0.5389,2,1
A07,644,0.4583,2,1
A08,647,0.5609,2,1
A09,648,0.4985,2,1
A10,656,0.5445,2,1
A11,666,0.6149,2,1
A12,Blank1,0.3087,2,1
B12,Blank1,0.2951,2,2
B11,666,0.6177,2,2
B10,656,0.5393,2,2
B09,648,0.4844,2,2
B08,647,0.5673,2,2
B07,644,0.4764,2,2
B06,638,0.5386,2,2
B05,631,0.5229,2,2
B04,630,0.5249,2,2
B03,629,0.5843,2,2
B02,626,0.5253,2,2
B01,599,0.4747,2,2
C01,599,0.4781,2,3
C02,626,0.4855,2,3
C03,629,0.5459,2,3
C04,630,0.5059,2,3
C05,631,0.417,2,3
C06,638,0.4994,2,3
C07,644,0.4898,2,3
C08,647,0.5097,2,3
C09,648,0.5064,2,3
C10,656,0.5139,2,3
C11,666,0.5055,2,3
C12,Blank1,0.2865,2,3
D12,Blank1,0.2722,2,4
D11,666,0.6163,2,4
D10,656,0.523,2,4
D09,648,0.517,2,4
D08,647,0.5607,2,4
D07,644,0.4698,2,4
D06,638,0.4948,2,4
D05,631,0.5127,2,4
D04,630,0.5002,2,4
D03,629,0.536,2,4
D02,626,0.5276,2,4
D01,599,0.4852,2,4
E01,603,0.3641,2,1
E02,612,0.3553,2,1
E03,646,0.4963,2,1
E04,659,0.5043,2,1
E05,662,0.5381,2,1
E06,733,0.3856,2,1
E07,735,0.3665,2,1
E08,736,0.3852,2,1
E09,739,0.3581,2,1
E10,751,0.3723,2,1
E11,757,0.3561,2,1
E12,Blank1,0.2686,2,1
F12,Blank1,0.2619,2,2
F11,757,0.2623,2,2
F10,751,0.3403,2,2
F09,739,0.3242,2,2
F08,736,0.3625,2,2
F07,735,0.3802,2,2
F06,733,0.3653,2,2
F05,662,0.4768,2,2
F04,659,0.4789,2,2
F03,646,0.4562,2,2
F02,612,0.2803,2,2
F01,603,0.3813,2,2
G01,603,0.3663,2,3
G02,612,0.3705,2,3
G03,646,0.4807,2,3
G04,659,0.5389,2,3
G05,662,0.5112,2,3
G06,733,0.3762,2,3
G07,735,0.3931,2,3
G08,736,0.3807,2,3
G09,739,0.3417,2,3
G10,751,0.3437,2,3
G11,757,0.349,2,3
G12,Blank1,0.2726,2,3
H12,Blank1,0.2987,2,4
H11,757,0.3695,2,4
H10,751,0.3221,2,4
H09,739,0.3551,2,4
H08,736,0.3825,2,4
H07,735,0.3792,2,4
H06,733,0.3762,2,4
H05,662,0.5093,2,4
H04,659,0.4935,2,4
H03,646,0.4833,2,4
H02,612,0.3643,2,4
H01,603,0.3966,2,4
A01,618,0.4705,2,1
A02,628,0.5237,2,1
A03,637,0.4923,2,1
A04,657,0.5307,2,1
A05,665,0.5075,2,1
A06,672,0.5215,2,1
A07,726,0.3634,2,1
A08,730,0.3705,2,1
A09,741,0.3386,2,1
A10,746,0.3576,2,1
A11,747,0.368,2,1
A12,Blank1,0.3077,2,1
B12,Blank1,0.2903,2,2
B11,747,0.3514,2,2
B10,746,0.3472,2,2
B09,741,0.3331,2,2
B08,730,0.369,2,2
B07,726,0.3426,2,2
B06,672,0.5059,2,2
B05,665,0.4791,2,2
B04,657,0.5084,2,2
B03,637,,2,2
B02,628,0.5263,2,2
B01,618,0.5445,2,2
C01,618,0.5053,2,3
C02,628,0.4594,2,3
C03,637,0.536,2,3
C04,657,0.4933,2,3
C05,665,0.3929,2,3
C06,672,0.4862,2,3
C07,726,0.38,2,3
C08,730,0.2965,2,3
C09,741,0.3506,2,3
C10,746,0.3473,2,3
C11,747,0.2678,2,3
C12,Blank1,0.2848,2,3
D12,Blank1,0.2663,2,4
D11,747,0.3587,2,4
D10,746,0.3382,2,4
D09,741,0.3414,2,4
D08,730,0.3586,2,4
D07,726,0.347,2,4
D06,672,0.4788,2,4
D05,665,0.4416,2,4
D04,657,0.5114,2,4
D03,637,,2,4
D02,628,0.5008,2,4
D01,618,0.4817,2,4
E01,636,0.398,2,1
E02,645,0.4844,2,1
E03,650,0.5235,2,1
E04,654,0.5016,2,1
E05,658,0.533,2,1
E06,663,0.4207,2,1
E07,667,0.4175,2,1
E08,674,0.5239,2,1
E09,725,0.375,2,1
E10,731,0.4043,2,1
E11,745,0.3645,2,1
E12,Blank1,0.2759,2,1
F12,Blank1,0.2616,2,2
F11,745,0.2428,2,2
F10,731,0.3742,2,2
F09,725,0.3636,2,2
F08,674,0.5082,2,2
F07,667,0.4814,2,2
F06,663,0.4204,2,2
F05,658,0.4846,2,2
F04,654,0.5013,2,2
F03,650,0.5426,2,2
F02,645,0.3498,2,2
F01,636,0.4185,2,2
G01,636,0.3845,2,3
G02,645,0.4449,2,3
G03,650,0.5449,2,3
G04,654,0.4996,2,3
G05,658,0.4995,2,3
G06,663,0.4126,2,3
G07,667,0.4809,2,3
G08,674,0.5128,2,3
G09,725,0.3725,2,3
G10,731,0.3783,2,3
G11,745,0.3335,2,3
G12,Blank1,0.2711,2,3
H12,Blank1,0.3126,2,4
H11,745,0.3574,2,4
H10,731,0.3624,2,4
H09,725,0.3882,2,4
H08,674,0.5248,2,4
H07,667,0.4745,2,4
H06,663,0.4491,2,4
H05,658,0.5114,2,4
H04,654,0.5022,2,4
H03,650,0.5421,2,4
H02,645,0.4002,2,4
H01,636,0.4147,2,4
A01,597,0.5061,2,1
A02,606,0.4928,2,1
A03,642,0.4645,2,1
A04,762,0.3737,2,1
A05,770,0.4824,2,1
A06,771,0.3963,2,1
A07,772,0.4446,2,1
A08,773,0.3859,2,1
A09,777,0.367,2,1
A10,785,0.4274,2,1
A11,786,0.4305,2,1
A12,Blank1,0.3277,2,1
B12,Blank1,0.3072,2,2
B11,786,0.3879,2,2
B10,785,0.4093,2,2
B09,777,0.3605,2,2
B08,773,0.4055,2,2
B07,772,0.4096,2,2
B06,771,0.3903,2,2
B05,770,0.4421,2,2
B04,762,0.3817,2,2
B03,642,0.4628,2,2
B02,606,0.5222,2,2
B01,597,0.4972,2,2
C01,597,0.4966,2,3
C02,606,0.4671,2,3
C03,642,0.4636,2,3
C04,762,0.3732,2,3
C05,770,0.3702,2,3
C06,771,0.3784,2,3
C07,772,0.4488,2,3
C08,773,0.361,2,3
C09,777,0.3798,2,3
C10,785,0.3953,2,3
C11,786,0.3236,2,3
C12,Blank1,0.2965,2,3
D12,Blank1,0.2836,2,4
D11,786,0.4245,2,4
D10,785,0.4163,2,4
D09,777,0.4163,2,4
D08,773,0.439,2,4
D07,772,0.4108,2,4
D06,771,0.4012,2,4
D05,770,0.4617,2,4
D04,762,0.3786,2,4
D03,642,0.4673,2,4
D02,606,0.5483,2,4
D01,597,0.5155,2,4
E01,764,0.4449,2,1
E02,765,0.43,2,1
E03,767,0.4097,2,1
E04,778,0.4684,2,1
E05,779,0.4135,2,1
E06,780,0.4209,2,1
E07,781,0.3874,2,1
E08,782,0.4034,2,1
E09,783,0.4223,2,1
E10,842,0.5142,2,1
E11,843,0.4602,2,1
E12,Blank1,0.2892,2,1
F12,Blank1,0.2818,2,2
F11,843,0.4123,2,2
F10,842,0.5273,2,2
F09,783,0.4003,2,2
F08,782,0.4158,2,2
F07,781,0.4361,2,2
F06,780,0.4179,2,2
F05,779,0.4421,2,2
F04,778,0.4675,2,2
F03,767,0.4484,2,2
F02,765,0.3443,2,2
F01,764,0.3949,2,2
G01,764,0.367,2,3
G02,765,0.4297,2,3
G03,767,0.4299,2,3
G04,778,0.4835,2,3
G05,779,0.4584,2,3
G06,780,0.4461,2,3
G07,781,0.4116,2,3
G08,782,0.4278,2,3
G09,783,0.4417,2,3
G10,842,0.5327,2,3
G11,843,0.5087,2,3
G12,Blank1,0.2846,2,3
H12,Blank1,0.3174,2,4
H11,843,0.5091,2,4
H10,842,0.5146,2,4
H09,783,0.434,2,4
H08,782,0.456,2,4
H07,781,0.4043,2,4
H06,780,0.417,2,4
H05,779,0.4025,2,4
H04,778,0.4546,2,4
H03,767,0.425,2,4
H02,765,0.4047,2,4
H01,764,0.4362,2,4
A01,617,0.451,2,1
A02,623,0.3599,2,1
A03,633,0.449,2,1
A04,635,0.5183,2,1
A05,641,0.4343,2,1
A06,649,0.6166,2,1
A07,655,0.4965,2,1
A08,669,0.4884,2,1
A09,755,0.3359,2,1
A10,766,0.3797,2,1
A11,844,0.3638,2,1
A12,Blank1,0.305,2,1
B12,Blank1,0.3136,2,2
B11,844,0.4176,2,2
B10,766,0.3971,2,2
B09,755,0.3437,2,2
B08,669,0.561,2,2
B07,655,0.508,2,2
B06,649,0.6392,2,2
B05,641,0.4555,2,2
B04,635,0.5293,2,2
B03,633,0.4677,2,2
B02,623,0.3716,2,2
B01,617,0.4877,2,2
C01,617,0.4609,2,3
C02,623,0.3152,2,3
C03,633,0.4654,2,3
C04,635,0.4814,2,3
C05,641,0.3399,2,3
C06,649,0.4125,2,3
C07,655,0.4689,2,3
C08,669,0.4323,2,3
C09,755,0.3501,2,3
C10,766,0.4027,2,3
C11,844,0.3245,2,3
C12,Blank1,0.2866,2,3
D12,Blank1,0.2754,2,4
D11,844,0.4078,2,4
D10,766,0.4218,2,4
D09,755,0.3455,2,4
D08,669,0.5202,2,4
D07,655,0.4597,2,4
D06,649,0.4194,2,4
D05,641,0.4391,2,4
D04,635,0.466,2,4
D03,633,0.4749,2,4
D02,623,0.3714,2,4
D01,617,0.4903,2,4
E01,601,0.3694,2,1
E02,605,0.3749,2,1
E03,609,0.5108,2,1
E04,789,0.4113,2,1
E05,790,0.4319,2,1
E06,824,0.3952,2,1
E07,825,0.3922,2,1
E08,829,0.4325,2,1
E09,833,0.4371,2,1
E10,834,0.4009,2,1
E11,835,0.4743,2,1
E12,Blank1,0.2809,2,1
F12,Blank1,0.2656,2,2
F11,835,0.4154,2,2
F10,834,NA,2,2
F09,833,0.4106,2,2
F08,829,0.4483,2,2
F07,825,0.387,2,2
F06,824,0.3792,2,2
F05,790,0.4269,2,2
F04,789,0.4147,2,2
F03,609,0.5184,2,2
F02,605,0.279,2,2
F01,601,0.3705,2,2
G01,601,0.3729,2,3
G02,605,0.3923,2,3
G03,609,0.4994,2,3
G04,789,0.4174,2,3
G05,790,0.415,2,3
G06,824,0.382,2,3
G07,825,0.4407,2,3
G08,829,0.3982,2,3
G09,833,0.3959,2,3
G10,834,0.4077,2,3
G11,835,0.4951,2,3
G12,Blank1,0.2749,2,3
H12,Blank1,0.2992,2,4
H11,835,0.5001,2,4
H10,834,0.3619,2,4
H09,833,0.4578,2,4
H08,829,0.4436,2,4
H07,825,0.4227,2,4
H06,824,0.3698,2,4
H05,790,0.4117,2,4
H04,789,0.4227,2,4
H03,609,0.5071,2,4
H02,605,0.3922,2,4
H01,601,0.3943,2,4
A01,616,0.8523,1,1
A02,625,0.5163,1,1
A03,634,0.5253,1,1
A04,643,0.4739,1,1
A05,651,0.5281,1,1
A06,652,0.4791,1,1
A07,660,0.52,1,1
A08,661,0.4073,1,1
A09,670,0.5466,1,1
A10,769,0.3978,1,1
A11,784,0.4311,1,1
A12,Blank1,0.3026,1,1
B12,Blank1,0.303,1,2
B11,784,0.4334,1,2
B10,769,0.3804,1,2
B09,670,0.4947,1,2
B08,661,0.4414,1,2
B07,660,0.5262,1,2
B06,652,0.481,1,2
B05,651,0.5222,1,2
B04,643,0.4746,1,2
B03,634,0.4973,1,2
B02,625,0.519,1,2
B01,616,0.734,1,2
C01,616,0.6775,1,3
C02,625,0.4026,1,3
C03,634,0.4924,1,3
C04,643,0.4744,1,3
C05,651,0.4276,1,3
C06,652,0.4941,1,3
C07,660,0.5173,1,3
C08,661,0.3378,1,3
C09,670,0.4909,1,3
C10,769,0.4045,1,3
C11,784,0.4164,1,3
C12,Blank1,0.311,1,3
D12,Blank1,0.3065,1,4
D11,784,0.4514,1,4
D10,769,0.4029,1,4
D09,670,0.5705,1,4
D08,661,0.4507,1,4
D07,660,0.5549,1,4
D06,652,0.5155,1,4
D05,651,0.5231,1,4
D04,643,0.4801,1,4
D03,634,0.4924,1,4
D02,625,0.5107,1,4
D01,616,0.6689,1,4
E01,598,0.4651,1,1
E02,607,0.5323,1,1
E03,615,0.5287,1,1
E04,624,0.5089,1,1
E05,760,0.4776,1,1
E06,761,0.4821,1,1
E07,763,0.4375,1,1
E08,768,0.5096,1,1
E09,774,0.5296,1,1
E10,775,0.491,1,1
E11,776,0.515,1,1
E12,Blank1,0.3248,1,1
F12,Blank1,0.3364,1,2
F11,776,0.3838,1,2
F10,775,0.4924,1,2
F09,774,0.4832,1,2
F08,768,0.3861,1,2
F07,763,0.4179,1,2
F06,761,0.4597,1,2
F05,760,0.4379,1,2
F04,624,0.4883,1,2
F03,615,0.5357,1,2
F02,607,0.5356,1,2
F01,598,0.5077,1,2
G01,598,0.5334,1,3
G02,607,0.5819,1,3
G03,615,0.5537,1,3
G04,624,0.5055,1,3
G05,760,0.4904,1,3
G06,761,0.4991,1,3
G07,763,0.4196,1,3
G08,768,0.4985,1,3
G09,774,0.5524,1,3
G10,775,0.4822,1,3
G11,776,0.5238,1,3
G12,Blank1,0.3224,1,3
H12,Blank1,0.3077,1,4
H11,776,0.4861,1,4
H10,775,0.4917,1,4
H09,774,0.5126,1,4
H08,768,0.5043,1,4
H07,763,0.4524,1,4
H06,761,0.4779,1,4
H05,760,0.479,1,4
H04,624,0.5215,1,4
H03,615,0.5617,1,4
H02,607,0.547,1,4
H01,598,0.532,1,4
A01,791,0.5322,2,1
A02,796,0.501,2,1
A03,797,0.4472,2,1
A04,801,0.4695,2,1
A05,805,0.453,2,1
A06,806,0.4523,2,1
A07,811,0.4457,2,1
A08,812,0.5012,2,1
A09,819,0.4973,2,1
A10,820,0.4416,2,1
A11,826,0.389,2,1
