Pop,Plant_ID,Rep,Date,Trichomes_b1,Spines_b1,L_area_b1,L_weight_b1,Trichomes_b2,Spines_b2,L_area_b2,L_weight_b2,Trichomes_t1,Spines_t1,L_area_t1,L_weight_t1,Trichomes_t2,Spines_t2,L_area_t2,L_weight_t2
REF,1,C,8/17/2023,92,4,1.051,0.0075,104,7,1.078,0.0094,130,7,0.858,0.0059,115,6,0.981,0.0058
REF,1,G,8/17/2023,100,10,1.015,0.0069,46,16,0.794,0.0057,110,11,1.056,0.0066,36,11,1.538,0.009
REF,5,A,8/17/2023,164,7,1.691,0.0087,156,2,0.771,0.0044,160,5,0.668,0.0042,152,9,0.964,0.0051
REF,5,B,8/17/2023,120,1,1.475,0.0068,112,1,0.414,0.0023,200,4,1.578,0.009,148,7,0.989,0.0046
REF,5,C,8/17/2023,105,1,1.941,0.0129,88,11,1.141,0.0064,190,11,1.196,0.0082,131,10,1.018,0.0071
REF,5,D,8/17/2023,95,14,1.188,0.0088,148,8,1.072,0.0074,144,7,1.092,0.0078,175,4,0.851,0.0061
REF,5,F,8/17/2023,116,3,1.005,0.0073,140,6,0.824,0.0057,150,11,1.106,0.0079,144,7,1.061,0.008
REF,6,A,8/17/2023,75,2,1.42,0.0106,120,12,1.291,0.0094,45,10,0.746,0.0051,95,10,1.18,0.0087
REF,6,C,8/17/2023,148,3,1.199,0.0085,100,1,1.745,0.0112,152,5,0.752,0.0057,160,8,0.946,0.0072
REF,6,D,8/17/2023,84,0,1.26,0.0085,80,1,1.635,0.0121,120,8,1.148,0.0093,120,12,1.105,0.0078
REF,7,B,8/17/2023,100,1,1.32,0.0104,110,0,0.794,0.0062,108,8,0.795,0.006,128,12,0.736,0.0054
