Plant_abr,Pop,Date,Plant_ID,Height,Leaves,Epitrix_herb,Chew_herb,Mining_herb,Epitrix,Spider_Mite,Leptinotarsa,Torti_Beetle,Black_weevils,Stem_dens,Spodoptera,Leafhopper,Mealybug,Trichomes,Spines,Leaf_Area,Leaf_Weight
QUI-30,QUI,6/7/2023,30,32,13,0,10,0,0,0,2,0,0,28,0,0,0,154,14,0.914,0.0034
COO-1,COO,6/8/2023,1,20,5,10,0.3,0,4,0,0,0,0,4,0,0,0,334,12,0.879,0.0044
COO-2,COO,6/8/2023,2,31,10,25,5,0,0,0,0,0,0,6,0,0,0,195,5,1.513,0.007
COO-3,COO,6/8/2023,3,30,12,35,1,0,1,0,0,0,0,16,0,0,0,328,9,1.326,0.007
COO-4,COO,6/8/2023,4,33,7,6,2,0,2,0,0,0,0,28,0,0,0,214,8,0.855,0.0037
COO-5,COO,6/8/2023,5,22,6,10,1,0,0,0,0,0,0,8,0,0,0,333,3,0.657,0.0033
COO-6,COO,6/8/2023,6,44,6,20,5,0,2,0,0,1,0,16,0,0,0,249,8,1.684,0.0086
COO-7,COO,6/8/2023,7,31,6,18,0.5,0,0,0,0,0,0,20,0,0,0,223,9,1.055,0.0046
COO-8,COO,6/8/2023,8,35,7,15,1,0,0,0,0,0,0,32,0,0,0,128,8,0.961,0.0041
COO-9,COO,6/8/2023,9,35,8,13,1,0,2,0,0,0,0,24,0,0,0,172,16,1.413,0.0076
COO-10,COO,6/8/2023,10,31,7,22,6,0,0,0,0,0,0,36,0,0,0,132,7,1.915,0.0094
COO-11,COO,6/8/2023,11,28,6,11,0.2,0,1,0,0,0,0,40,0,0,0,176,12,1.269,0.0063
COO-12,COO,6/8/2023,12,61,5,12,5,0,2,0,0,0,0,24,0,0,0,108,10,1.159,0.0042
COO-13,COO,6/8/2023,13,31,9,13,8,0,0,0,0,1,0,30,0,0,0,164,7,1.531,0.0078
COO-14,COO,6/8/2023,14,39,8,20,3,0,3,0,0,1,0,16,0,0,0,232,9,1.634,0.0084
