"Pop","MAT","Tsd","AP","PWQ","NPP_g_10y","Year","NPPg","NPP","Latitude","Longitude","Clim_PC1","Clim_PC2","WeightedCD"
"QUI",193,6019.5,1469.5,487,0.182145685638144,"2022",0.171201583445437,0.823395325282431,30.5473566,-84.5984944,-2.70839189206265,0.302087644073937,0.417596679627087
"QUI",193,6019.5,1469.5,487,0.182145685638144,"2023",0.266726106608057,0.823395325282431,30.5473566,-84.5984944,-2.70839189206265,0.302087644073937,0.417596679627087
"COO",179,6930.66666666667,1216,317.333333333333,0.246528717685247,"2022",0.175450320056887,0.726560701754386,32.5134944,-84.9074259,-0.813309152683704,-0.577679983526586,2.14591317077274
"COO",179,6930.66666666667,1216,317.333333333333,0.246528717685247,"2023",0.341836871116641,0.726560701754386,32.5134944,-84.9074259,-0.813309152683704,-0.577679983526586,2.14591317077274
"DUDU",204.666666666667,5301,1343,544,0.169386885725584,"2022",0.187297416410737,0.827235879120879,29.6135164,-82.3603294,-3.05667113753799,1.09484502741323,0
"DUDU",204.666666666667,5301,1343,544,0.169386885725584,"2023",0.259801148487429,0.827235879120879,29.6135164,-82.3603294,-3.05667113753799,1.09484502741323,0
"SUW",205,5274.5,1040.5,428,0.20931746955309,"2022",0.23573785444461,1.15212846580407,29.3034545,-83.0598532,-1.84756168232281,0.925620784467889,1.11763413843203
"SUW",205,5274.5,1040.5,428,0.20931746955309,"2023",0.229364625448991,1.15212846580407,29.3034545,-83.0598532,-1.84756168232281,0.925620784467889,1.11763413843203
"TAL",194.5,6003.5,1467.5,496,0.183076998682564,"2022",0.18075324137372,0.794279303961496,30.4959901,-84.1760539,-2.77047549425302,0.381117259007375,0.356882305217277
"TAL",194.5,6003.5,1467.5,496,0.183076998682564,"2023",0.273343227996971,0.794279303961496,30.4959901,-84.1760539,-2.77047549425302,0.381117259007375,0.356882305217277
"OAK",86,10426.75,907,315.25,0.316010340508997,"2022",0.318954506937054,0.574893093093093,42.1814204,-88.9532783,1.92323704571272,0.467657598438409,4.60201821972995
"OAK",86,10426.75,907,315.25,0.316010340508997,"2023",0.339843611153994,0.574893093093093,42.1814204,-88.9532783,1.92323704571272,0.467657598438409,4.60201821972995
"KAN",97,9904.5,970,301,0.304397794503007,"2022",0.330198824169932,0.586619409038239,41.0491084,-87.4607779,1.60284719500088,0.114502175843868,4.31402480521672
"KAN",97,9904.5,970,301,0.304397794503007,"2023",0.353191295779054,0.586619409038239,41.0491084,-87.4607779,1.60284719500088,0.114502175843868,4.31402480521672
"SHE",146,8261,1199,281,0.305990939049802,"2022",0.28768892362688,0.720971471698113,36.185288,-86.7066416,0.213711863397537,-0.850103555559143,3.08902627728269
"SHE",146,8261,1199,281,0.305990939049802,"2023",0.337244584317899,0.720971471698113,36.185288,-86.7066416,0.213711863397537,-0.850103555559143,3.08902627728269
"PLA",110.5,9351.5,1032,303.5,0.266815871098201,"2022",0.262460205543695,0.608507175398633,39.719879,-86.3736799,1.14218771857786,-0.0605423745270644,3.89557264334251
"PLA",110.5,9351.5,1032,303.5,0.266815871098201,"2023",0.260684399246275,0.608507175398633,39.719879,-86.3736799,1.14218771857786,-0.0605423745270644,3.89557264334251
"BEC",128,8592.5,1162.5,310.5,0.3178724693705,"2022",0.315224922293019,0.646498971482001,38.2144158,-85.4761698,0.403186550928573,-0.384830982409904,3.2324549707453
"BEC",128,8592.5,1162.5,310.5,0.3178724693705,"2023",0.332579333388344,0.646498971482001,38.2144158,-85.4761698,0.403186550928573,-0.384830982409904,3.2324549707453
"GRE",168,7290,1423,334,0.284328893124286,"2022",0.25153377302697,0.734475417386298,33.3606805,-86.8145261,-1.12454116875689,-0.944698962011113,1.91086910746931
"GRE",168,7290,1423,334,0.284328893124286,"2023",0.329522765549845,0.734475417386298,33.3606805,-86.8145261,-1.12454116875689,-0.944698962011113,1.91086910746931
"REF",148,7767.5,1397.5,308.5,0.289322246097467,"2022",0.282953319174827,0.690753936269916,35.010498,-85.362997,-0.548431957909766,-1.0985145956123,2.43002847359212
"REF",148,7767.5,1397.5,308.5,0.289322246097467,"2023",0.358919937940191,0.690753936269916,35.010498,-85.362997,-0.548431957909766,-1.0985145956123,2.43002847359212
"PS",207,5152.5,1330.5,541,0.152264690085203,"2022",0.171270069932375,0.694951761168385,29.411548,-82.159774,-3.08547791222395,1.09881935999155,0.0266264196865249
"PS",207,5152.5,1330.5,541,0.152264690085203,"2023",0.214708148364994,0.694951761168385,29.411548,-82.159774,-3.08547791222395,1.09881935999155,0.0266264196865249
"BR",204,5480,1296,511,0.204913330159346,"2022",0.249413582320298,0.912941674925669,30.081895,-81.839665,-2.73981721977929,0.954289327992041,0.296294167568171
"BR",204,5480,1296,511,0.204913330159346,"2023",0.313122537494926,0.912941674925669,30.081895,-81.839665,-2.73981721977929,0.954289327992041,0.296294167568171
"ECO",199,5810,1454.5,538.5,0.274217038298512,"2022",0.295660482291226,1.22099319620253,30.15618,-83.857337,-3.05548723314992,0.759719345161549,0.11265938335075
"ECO",199,5810,1454.5,538.5,0.274217038298512,"2023",0.335776445175871,1.22099319620253,30.15618,-83.857337,-3.05548723314992,0.759719345161549,0.11265938335075
"ICH",192.5,6273,1333,392.5,0.189491644529487,"2022",0.127381217614116,0.71435875810936,31.240498,-84.513992,-1.8441308044549,-0.175155393231823,1.19800180722501
"ICH",192.5,6273,1333,392.5,0.189491644529487,"2023",0.307019345472422,0.71435875810936,31.240498,-84.513992,-1.8441308044549,-0.175155393231823,1.19800180722501
"FLAT",181,6749,1161,326,0.214050771499666,"2022",0.140114636846106,0.656198584714921,32.397905,-83.784664,-0.82508833869209,-0.340840294914203,2.11585400507203
"FLAT",181,6749,1161,326,0.214050771499666,"2023",0.319426614291446,0.656198584714921,32.397905,-83.784664,-0.82508833869209,-0.340840294914203,2.11585400507203
"ARB",168.666666666667,7321.33333333333,1436.66666666667,330.666666666667,0.290919647215178,"2022",0.280200425789152,0.763739875941515,33.189776,-87.472662,-1.13195329097593,-1.01799504158753,1.91349169913006
"ARB",168.666666666667,7321.33333333333,1436.66666666667,330.666666666667,0.290919647215178,"2023",0.342348283309412,0.763739875941515,33.189776,-87.472662,-1.13195329097593,-1.01799504158753,1.91349169913006
"CAH",168,7267,1434,337,0.282728328317861,"2022",0.250812050449129,0.709961369076113,33.322326,-86.852447,-1.17250137544448,-0.944005855649548,1.86952472821115
"CAH",168,7267,1434,337,0.282728328317861,"2023",0.333349927483519,0.709961369076113,33.322326,-86.852447,-1.17250137544448,-0.944005855649548,1.86952472821115
"MOR",158,7322.33333333333,1306.66666666667,314.666666666667,0.275729722222222,"2022",0.281071666666667,0.738647928994083,33.805162,-84.35617,-0.63674441666223,-0.807478688167836,2.32367171683402
"MOR",158,7322.33333333333,1306.66666666667,314.666666666667,0.275729722222222,"2023",0.4116,0.738647928994083,33.805162,-84.35617,-0.63674441666223,-0.807478688167836,2.32367171683402
"HIX",149,7799,1384.75,308.25,0.285755940936231,"2022",0.296008605167581,0.7106880428652,35.126792,-85.220253,-0.522132504991797,-1.06817532191974,2.45012733584165
"HIX",149,7799,1384.75,308.25,0.285755940936231,"2023",0.363190423018743,0.7106880428652,35.126792,-85.220253,-0.522132504991797,-1.06817532191974,2.45012733584165
"I1",141.25,8070.25,1350.25,304.75,0.280626113911404,"2022",0.273895762527481,0.660619357092942,35.756115,-86.910418,-0.260442053521543,-0.993195036800679,2.67505777103156
"I1",141.25,8070.25,1350.25,304.75,0.280626113911404,"2023",0.307176660737483,0.660619357092942,35.756115,-86.910418,-0.260442053521543,-0.993195036800679,2.67505777103156
"I2",131,8608,1169,307,0.312659520653793,"2022",0.309872509513928,0.640756469235193,38.090354,-85.635227,0.381617424027477,-0.446634712640965,3.21606406589974
"I2",131,8608,1169,307,0.312659520653793,"2023",0.323515717279815,0.640756469235193,38.090354,-85.635227,0.381617424027477,-0.446634712640965,3.21606406589974
"I3",128,8589.75,1161.75,310.25,0.318941205485633,"2022",0.316145202490731,0.64557382518797,38.21292,-85.477407,0.405541735623499,-0.38547828457104,3.23463674235312
"I3",128,8589.75,1161.75,310.25,0.318941205485633,"2023",0.333229711901103,0.64557382518797,38.21292,-85.477407,0.405541735623499,-0.38547828457104,3.23463674235312
"I4",107,9438.33333333333,1023.66666666667,303.666666666667,0.318967019716401,"2022",0.321869164722851,0.644446686746988,39.881442,-86.32035,1.2237333920936,-0.0278809765191565,3.96942434629865
"I4",107,9438.33333333333,1023.66666666667,303.666666666667,0.318967019716401,"2023",0.336759237131929,0.644446686746988,39.881442,-86.32035,1.2237333920936,-0.0278809765191565,3.96942434629865
"N1",97,9859.66666666667,969.666666666667,300,0.307342181624281,"2022",0.325994180977137,0.582129387514723,41.060078,-87.426522,1.59694607277165,0.104208531798508,4.30885918327495
"N1",97,9859.66666666667,969.666666666667,300,0.307342181624281,"2023",0.349310217522235,0.582129387514723,41.060078,-87.426522,1.59694607277165,0.104208531798508,4.30885918327495
"N2",96,10137,936,296,0.332930735837846,"2022",0.336326615210754,0.624998354792561,41.378575,-88.12306,1.78525726557312,0.156569813447237,4.48092492458834
"N2",96,10137,936,296,0.332930735837846,"2023",0.370240400776588,0.624998354792561,41.378575,-88.12306,1.78525726557312,0.156569813447237,4.48092492458834
"N8",86,10427,906.25,315.25,0.315638401628507,"2022",0.31868691086609,0.575125859491779,42.181973,-88.951815,1.92489892853218,0.469715543754493,4.60351914081648
"N8",86,10427,906.25,315.25,0.315638401628507,"2023",0.338698263700554,0.575125859491779,42.181973,-88.951815,1.92489892853218,0.469715543754493,4.60351914081648
"N7",86,10431.3333333333,904.666666666667,315.333333333333,0.324691168743951,"2022",0.330095213998166,0.584442194955692,42.199832,-88.957596,1.92899058459136,0.474972906162913,4.60721213751157
"N7",86,10431.3333333333,904.666666666667,315.333333333333,0.324691168743951,"2023",0.346721234673799,0.584442194955692,42.199832,-88.957596,1.92899058459136,0.474972906162913,4.60721213751157
"N6",84,10485,872.25,308,0.321686299134318,"2022",0.329147415125966,0.592652614555256,42.426433,-89.048089,2.08163208181313,0.489826260390101,4.74776622433041
"N6",84,10485,872.25,308,0.321686299134318,"2023",0.344750935035711,0.592652614555256,42.426433,-89.048089,2.08163208181313,0.489826260390101,4.74776622433041
"N5",83.5,10455.5,871,308.25,0.328244186250136,"2022",0.333431628982848,0.6044028125,42.442998,-89.207294,2.07988997258681,0.496822538480743,4.74605928068905
"N5",83.5,10455.5,871,308.25,0.328244186250136,"2023",0.34131007985257,0.6044028125,42.442998,-89.207294,2.07988997258681,0.496822538480743,4.74605928068905
"N4",73.6666666666667,10607.6666666667,854.666666666667,310.666666666667,0.364470929670531,"2022",0.395626667297712,0.649892611190818,42.950489,-89.869416,2.25533266427247,0.589499894657446,4.90670074551139
"N4",73.6666666666667,10607.6666666667,854.666666666667,310.666666666667,0.364470929670531,"2023",0.37604720695668,0.649892611190818,42.950489,-89.869416,2.25533266427247,0.589499894657446,4.90670074551139
"N3",76,10574,832,303,0.358297155878969,"2022",0.376228586960035,0.638543794147326,42.957818,-89.671322,2.3151904533481,0.563623805024255,4.96223092255181
"N3",76,10574,832,303,0.358297155878969,"2023",0.365819072396484,0.638543794147326,42.957818,-89.671322,2.3151904533481,0.563623805024255,4.96223092255181
"N9",75,10027,806.333333333333,274.666666666667,0.371342801784066,"2022",0.375513767182829,0.657937919776119,43.390901,-88.02382,2.4062996064906,0.316952497952213,5.04989871711709
"N9",75,10027,806.333333333333,274.666666666667,0.371342801784066,"2023",0.397058362030416,0.657937919776119,43.390901,-88.02382,2.4062996064906,0.316952497952213,5.04989871711709
"N10",71.5,10360,819.5,281,0.365768059303673,"2022",0.401442075182049,0.667128379169105,43.642057,-88.187774,2.47265708008142,0.362359745590873,5.11031701681761
"N10",71.5,10360,819.5,281,0.365768059303673,"2023",0.384671076144986,0.667128379169105,43.642057,-88.187774,2.47265708008142,0.362359745590873,5.11031701681761
