Pop,Date,Time,Plant_ID,Loc,Year,L_area,L_weight,Trichomes,Conc,herb_p,Leaves,Height,SLA
QUI,6/7/2020,2023,QUI-10,Field,2023,2.477,0.0136,116,0.251765766,0.03,9,22,182.1323529
QUI,6/7/2020,2023,QUI-11,Field,2023,1.492,0.0069,151,0.294465779,0.07,11,23,216.2318841
QUI,6/7/2020,2023,QUI-12,Field,2023,1.831,0.0091,125,0.256519875,0.25,9,23,201.2087912
QUI,6/7/2020,2023,QUI-13,Field,2023,1.697,0.0074,133,0.300988185,0.1,11,23,229.3243243
QUI,6/7/2020,2023,QUI-14,Field,2023,2.201,0.0131,135,0.276985733,0.06,9,22,168.0152672
QUI,6/7/2020,2023,QUI-15,Field,2023,2.17,0.0102,114,0.302002781,0.2,20,25,212.745098
QUI,6/7/2020,2023,QUI-16,Field,2023,1.364,0.0103,82,0.268231216,0.1,12,27,132.4271845
QUI,6/7/2020,2023,QUI-17,Field,2023,2.178,0.0106,90,0.292088725,0.15,10,24,205.4716981
QUI,6/7/2020,2023,QUI-18,Field,2023,1.494,0.0072,88,0.27855111,0.08,10,28,207.5
QUI,6/7/2020,2023,QUI-19,Field,2023,1.209,0.0055,93,0.233618985,0.2,7,23,219.8181818
QUI,6/7/2020,2023,QUI-20,Field,2023,1.53,0.0075,92,0.270028501,0.05,6,24,204
QUI,6/7/2020,2023,QUI-21,Field,2023,1.878,0.0108,288,0.292871414,0.15,7,21,173.8888889
QUI,6/7/2020,2023,QUI-22,Field,2023,0.961,0.0052,111,0.305829259,0.4,12,28,184.8076923
QUI,6/7/2020,2023,QUI-24,Field,2023,1.725,0.0084,98,0.286349008,0.35,12,29,205.3571429
QUI,6/7/2020,2023,QUI-26,Field,2023,2.108,0.0115,143,0.300785265,0.1,6,19,183.3043478
COO,6/8/2020,2023,COO-1,Field,2023,0.879,0.0044,334,0.188889778,0.103,5,20,199.7727273
COO,6/8/2020,2023,COO-2,Field,2023,1.513,0.007,195,0.221385851,0.3,10,31,216.1428571
COO,6/8/2020,2023,COO-3,Field,2023,1.326,0.007,328,0.074704203,0.36,12,30,189.4285714
COO,6/8/2020,2023,COO-4,Field,2023,0.855,0.0037,214,0.099402377,0.08,7,33,231.0810811
COO,6/8/2020,2023,COO-5,Field,2023,0.657,0.0033,333,0.100098101,0.11,6,22,199.0909091
COO,6/8/2020,2023,COO-6,Field,2023,1.684,0.0086,249,0.085951728,0.25,6,44,195.8139535
COO,6/8/2020,2023,COO-7,Field,2023,1.055,0.0046,223,0.069486278,0.185,6,31,229.3478261
COO,6/8/2020,2023,COO-8,Field,2023,0.961,0.0041,128,0.19851395,0.16,7,35,234.3902439
COO,6/8/2020,2023,COO-9,Field,2023,1.413,0.0076,172,0.218631947,0.14,8,35,185.9210526
COO,6/8/2020,2023,COO-10,Field,2023,1.915,0.0094,132,0.25811424,0.28,7,31,203.7234043
COO,6/8/2020,2023,COO-11,Field,2023,1.269,0.0063,176,0.268231216,0.112,6,28,201.4285714
COO,6/8/2020,2023,COO-12,Field,2023,1.159,0.0042,108,0.241126998,0.17,5,61,275.952381
COO,6/8/2020,2023,COO-13,Field,2023,1.531,0.0078,164,0.277159664,0.21,9,31,196.2820513
COO,6/8/2020,2023,COO-14,Field,2023,1.634,0.0084,232,0.221124955,0.23,8,39,194.5238095
