"Pop","Date","Plant_ID","Loc","Time","Year","L_area","L_weight","Trichomes","Conc","herb_p","fl_m","fl_h","Leaves","Height","SLA"
"ARB",2023-06-29,"ARB-12A","Garden","Mid","2023",1.074,0.005275,141.25,0.246253530819518,0.07,NA,NA,27,16,203.601895734597
"ARB",2023-07-03,"ARB-12A","Garden","Mid","2023",1.074,0.005275,141.25,0.246253530819518,0.05,NA,NA,NA,NA,203.601895734597
"ARB",2023-07-10,"ARB-12A","Garden","Mid","2023",1.074,0.005275,141.25,0.246253530819518,0.05,NA,NA,NA,NA,203.601895734597
"ARB",2023-07-17,"ARB-12A","Garden","Late","2023",1.074,0.005275,141.25,0.246253530819518,0.18,NA,NA,37,23,203.601895734597
"ARB",2023-07-28,"ARB-12A","Garden","Late","2023",1.074,0.005275,141.25,0.246253530819518,0.35,NA,NA,NA,NA,203.601895734597
"ARB",2023-08-03,"ARB-12A","Garden","Late","2023",1.074,0.005275,141.25,0.246253530819518,0.18,NA,NA,33,25,203.601895734597
"ARB",2023-08-07,"ARB-12A","Garden","Late","2023",1.074,0.005275,141.25,0.246253530819518,0.2,NA,NA,NA,NA,203.601895734597
"ARB",2023-08-15,"ARB-12A","Garden","Late","2023",1.074,0.005275,141.25,0.246253530819518,0.15,NA,NA,NA,NA,203.601895734597
"ARB",2023-05-31,"ARB-7C","Garden","Early","2023",0.90375,0.0047,104.75,0.5822313137346,0.01,NA,NA,22,24,192.287234042553
"ARB",2023-06-05,"ARB-7C","Garden","Early","2023",0.90375,0.0047,104.75,0.5822313137346,0.07,NA,NA,NA,NA,192.287234042553
"ARB",2023-06-12,"ARB-7C","Garden","Early","2023",0.90375,0.0047,104.75,0.5822313137346,0.12,NA,1,22,19,192.287234042553
"ARB",2023-06-20,"ARB-7C","Garden","Mid","2023",0.90375,0.0047,104.75,0.5822313137346,0.1,0,0,NA,NA,192.287234042553
"ARB",2023-06-29,"ARB-7C","Garden","Mid","2023",0.90375,0.0047,104.75,0.5822313137346,0.12,NA,NA,29,32,192.287234042553
"ARB",2023-07-03,"ARB-7C","Garden","Mid","2023",0.90375,0.0047,104.75,0.5822313137346,0.02,1,1,NA,NA,192.287234042553
"ARB",2023-07-10,"ARB-7C","Garden","Mid","2023",0.90375,0.0047,104.75,0.5822313137346,0.01,NA,1,NA,NA,192.287234042553
"ARB",2023-07-17,"ARB-7C","Garden","Late","2023",0.90375,0.0047,104.75,0.5822313137346,0.15,NA,NA,49,30,192.287234042553
"ARB",2023-07-28,"ARB-7C","Garden","Late","2023",0.90375,0.0047,104.75,0.5822313137346,0.03,NA,NA,NA,NA,192.287234042553
"ARB",2023-08-03,"ARB-7C","Garden","Late","2023",0.90375,0.0047,104.75,0.5822313137346,0.18,NA,NA,47,34,192.287234042553
"ARB",2023-08-07,"ARB-7C","Garden","Late","2023",0.90375,0.0047,104.75,0.5822313137346,0.05,NA,NA,NA,NA,192.287234042553
"ARB",2023-08-15,"ARB-7C","Garden","Late","2023",0.90375,0.0047,104.75,0.5822313137346,0.07,NA,NA,NA,NA,192.287234042553
"ARB",2023-05-31,"ARB-7D","Garden","Early","2023",1.12925,0.006225,58,0.192712920298277,0.01,NA,NA,12,19,181.40562248996
"ARB",2023-06-05,"ARB-7D","Garden","Early","2023",1.12925,0.006225,58,0.192712920298277,0.01,NA,NA,NA,NA,181.40562248996
"ARB",2023-06-12,"ARB-7D","Garden","Early","2023",1.12925,0.006225,58,0.192712920298277,0.04,NA,NA,17,22,181.40562248996
"ARB",2023-06-20,"ARB-7D","Garden","Mid","2023",1.12925,0.006225,58,0.192712920298277,0.1,0,0,NA,NA,181.40562248996
"ARB",2023-06-29,"ARB-7D","Garden","Mid","2023",1.12925,0.006225,58,0.192712920298277,0.05,NA,NA,32,32,181.40562248996
"ARB",2023-07-03,"ARB-7D","Garden","Mid","2023",1.12925,0.006225,58,0.192712920298277,0.01,NA,NA,NA,NA,181.40562248996
"ARB",2023-07-17,"ARB-7D","Garden","Late","2023",1.12925,0.006225,58,0.192712920298277,0.07,NA,NA,53,44,181.40562248996
