Plant_ID,Pop,Date,Height,Leaves,Phenology,Fl_herm,Fl_male,fruits,Buds,Epitrix_herb,Chew_herb,Mining_herb,Stem_dens,Trichomes,Leaf_Area,Leaf_Weight,Comments
BEC-1,BEC,6/25/23,43,4,fl,2,0,0,9,0,10,0,4,144,0.774,0.0045,
BEC-2,BEC,6/25/23,36,6,fl,0,1,0,5,20,9,0,8,224,1.364,0.009,
BEC-3,BEC,6/25/23,31,4,fl,1,0,0,2,2,0.3,0,12,172,1.182,0.0071,
BEC-4,BEC,6/25/23,82,6,fr,1,0,2,5,2,1,0,4,156,1.133,0.0066,
BEC-5,BEC,6/25/23,29,6,fl,0,2,0,13,30,20,0,4,164,0.748,0.0046,
BEC-6,BEC,6/25/23,44,6,fl,1,0,0,9,20,0.5,0,8,188,1.076,0.0071,
BEC-7,BEC,6/25/23,31,7,fl,1,0,0,1,5,3,0,4,192,0.749,0.0048,
BEC-8,BEC,6/25/23,40,5,fl,0,1,0,4,4,2,0,12,208,0.846,0.0062,
BEC-9,BEC,6/25/23,46,8,fr,1,0,2,5,4,0,0,12,204,0.82,0.0062,
BEC-10,BEC,6/25/23,42,7,fl,1,0,2,6,5,1,0,4,176,0.778,0.0055,
BEC-11,BEC,6/25/23,46,6,fl,1,0,0,15,4,10,0,12,152,1.2,0.0055,
BEC-12,BEC,6/25/23,51,7,fl,1,0,0,13,5,20,0,4,194,0.712,0.004,
BEC-13,BEC,6/25/23,39,6,fl,1,0,0,20,3,0,0,4,200,0.947,0.0059,
BEC-14,BEC,6/25/23,45,8,fl,0,1,0,5,13,30,0,4,168,0.717,0.0033,
BEC-15,BEC,6/25/23,29,3,fl,0,1,0,5,0,30,0,4,152,0.654,0.0029,
BEC-16,BEC,6/25/23,57,6,fl,0,1,0,10,0,15,0,4,176,1.591,0.0112,
